Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2020,Total Nacional,56777
2020,Albacete,373
2020,Alicante/Alacant,3113
2020,Almería,1030
2020,Araba/Álava,491
2020,Asturias,1167
2020,Ávila,119
2020,Badajoz,618
2020,"Balears, Illes",1632
2020,Barcelona,7169
2020,Bizkaia,1403
2020,Burgos,402
2020,Cáceres,510
2020,Cádiz,1860
2020,Cantabria,717
2020,Castellón/Castelló,815
2020,Ciudad Real,593
2020,Córdoba,781
2020,"Coruña, A",1257
2020,Cuenca,112
2020,Gipuzkoa,836
2020,Girona,815
2020,Granada,1325
2020,Guadalajara,275
2020,Huelva,594
2020,Huesca,198
2020,Jaén,765
2020,León,448
2020,Lleida,463
2020,Lugo,259
2020,Madrid,6910
2020,Málaga,2136
2020,Murcia,1823
2020,Navarra,630
2020,Ourense,241
2020,Palencia,134
2020,"Palmas, Las",1657
2020,Pontevedra,945
2020,"Rioja, La",340
2020,Salamanca,301
2020,Santa Cruz de Tenerife,1343
2020,Segovia,117
2020,Sevilla,2514
2020,Soria,91
2020,Tarragona,1120
2020,Teruel,87
2020,Toledo,349
2020,Valencia/València,3694
2020,Valladolid,458
2020,Zamora,185
2020,Zaragoza,1092
2020,Ceuta,279
2020,Melilla,191
