Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2021,ANDALUCÍA,55,219,3648,27,2690,281,2409,5911,16381,11457,68916,4848,4816,207383,314894
2021,Provincia de ALMERÍA,8,21,408,2,273,47,226,534,1686,1322,4548,294,515,17821,26110
2021,04003 Adra,0,1,16,0,5,0,5,4,69,55,99,3,21,492,710
2021,04013 Almería,3,3,85,0,75,10,65,213,300,224,1551,131,196,4681,7238
2021,04902 Ejido (El),0,5,59,1,32,5,27,52,170,123,609,41,68,2269,3306
2021,04066 Níjar,0,1,47,1,15,2,13,24,124,98,202,6,34,1104,1558
2021,04079 Roquetas de Mar,3,3,88,0,53,11,42,160,241,193,996,36,86,3505,5171
2021,04102 Vícar,0,4,25,0,15,2,13,15,59,47,249,9,27,861,1264
2021,Provincia de CÁDIZ,7,34,549,2,418,42,376,728,2027,1306,9614,956,1012,31451,46798
2021,11004 Algeciras,1,7,82,0,49,6,43,71,169,126,831,90,237,3196,4733
2021,11006 Arcos de la Frontera,0,0,5,0,10,3,7,3,46,38,105,11,9,511,700
2021,11007 Barbate,1,1,17,0,7,0,7,14,40,27,233,3,26,794,1136
2021,11008 Barrios (Los),0,2,14,0,8,0,8,6,34,21,223,10,19,741,1057
2021,11012 Cádiz,1,1,78,0,39,5,34,102,128,72,1357,217,60,2990,4973
2021,11015 Chiclana de la Frontera,0,0,17,0,13,2,11,11,85,50,212,16,18,695,1067
2021,11014 Conil de la Frontera,0,0,21,0,24,3,21,23,271,219,596,60,33,1755,2783
2021,11020 Jerez de la Frontera,0,4,73,1,66,7,59,196,258,132,2065,161,102,5904,8830
2021,11022 Línea de la Concepción (La),0,1,31,0,24,2,22,28,31,13,194,39,84,1659,2091
2021,11027 Puerto de Santa María (El),1,3,42,0,28,2,26,70,102,65,865,70,56,2383,3620
2021,11028 Puerto Real,0,1,10,0,18,1,17,19,74,36,326,21,11,1137,1617
2021,11030 Rota,0,0,8,0,10,1,9,15,63,37,249,22,25,739,1131
2021,11031 San Fernando,1,2,16,1,53,2,51,45,141,87,751,65,26,2588,3689
2021,11033 San Roque,0,2,19,0,23,3,20,63,157,68,609,107,127,1771,2878
2021,11032 Sanlúcar de Barrameda,1,2,21,0,16,1,15,12,53,43,149,13,36,989,1292
