Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2022,ANDALUCÍA,322225,74,284,4855,21,2659,512,2147,7335,18819,13281,89038,5578,4616,188946,56908,49323,7585,379133
2022,Provincia de ALMERÍA,26428,9,29,514,1,287,58,229,677,1923,1530,5525,312,510,16641,3483,3041,442,29911
2022,04003 Adra,732,0,0,17,0,5,1,4,14,53,48,134,5,24,480,53,47,6,785
2022,04013 Almería,7391,2,8,91,0,55,8,47,221,437,359,2099,138,200,4140,1541,1387,154,8932
2022,04902 Ejido (El),3254,2,3,100,0,48,7,41,107,186,137,689,37,68,2014,378,345,33,3632
2022,04053 Huércal-Overa,563,0,1,12,0,6,2,4,4,55,49,90,9,4,382,84,72,12,647
2022,04066 Níjar,1364,0,1,35,0,18,6,12,14,92,66,198,13,14,979,77,62,15,1441
2022,04079 Roquetas de Mar,5493,1,4,126,0,61,25,36,211,326,266,1108,37,65,3554,354,277,77,5847
2022,04102 Vícar,1120,0,2,26,0,9,1,8,28,101,81,206,7,21,720,104,88,16,1224
2022,Provincia de CÁDIZ,45968,10,34,739,2,385,71,314,824,2530,1575,12227,1103,883,27231,10306,8982,1324,56274
2022,11004 Algeciras,4938,6,5,110,1,50,12,38,69,189,139,943,109,223,3233,727,622,105,5665
2022,11006 Arcos de la Frontera,786,0,0,9,0,5,0,5,9,62,45,183,15,9,494,91,72,19,877
2022,11007 Barbate,1211,0,0,23,0,5,2,3,15,52,30,350,1,12,753,123,100,23,1334
2022,11008 Barrios (Los),1054,0,1,18,0,6,2,4,10,36,29,272,10,11,690,189,171,18,1243
2022,11012 Cádiz,4356,0,2,38,0,42,10,32,98,208,85,1741,183,58,1986,1319,1178,141,5675
2022,11015 Chiclana de la Frontera,3138,2,0,34,0,18,3,15,28,313,220,763,76,22,1882,608,533,75,3746
2022,11014 Conil de la Frontera,1031,0,0,19,0,10,3,7,18,97,69,241,12,13,621,180,160,20,1211
2022,11020 Jerez de la Frontera,8797,1,11,132,0,71,10,61,262,375,233,2767,219,97,4862,2304,2036,268,11101
2022,11022 Línea de la Concepción (La),1988,1,2,48,0,25,2,23,29,54,23,255,59,76,1439,305,280,25,2293
2022,11027 Puerto de Santa María (El),3575,0,1,51,0,33,6,27,82,161,83,1088,98,61,2000,813,706,107,4388
2022,11028 Puerto Real,1456,0,0,8,0,15,0,15,18,103,38,430,13,11,858,474,403,71,1930
2022,11030 Rota,1169,0,1,12,0,12,3,9,17,95,65,306,29,12,685,290,267,23,1459
2022,11031 San Fernando,3001,0,0,28,0,22,5,17,59,98,50,996,93,22,1683,1119,950,169,4120
2022,11033 San Roque,1391,0,1,28,0,10,2,8,10,59,45,202,18,24,1039,241,189,52,1632
2022,11032 Sanlúcar de Barrameda,2594,0,4,24,0,14,5,9,35,169,82,639,112,111,1486,625,549,76,3219
