Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2022,Total Nacional,246657
2022,Albacete,1618
2022,Alicante/Alacant,12156
2022,Almería,4060
2022,Araba/Álava,1949
2022,Asturias,5081
2022,Ávila,673
2022,Badajoz,3048
2022,"Balears, Illes",7748
2022,Barcelona,27985
2022,Bizkaia,5278
2022,Burgos,1734
2022,Cáceres,1827
2022,Cádiz,7905
2022,Cantabria,3193
2022,Castellón/Castelló,3110
2022,Ciudad Real,2483
2022,Córdoba,3426
2022,"Coruña, A",4551
2022,Cuenca,688
2022,Gipuzkoa,3219
2022,Girona,4171
2022,Granada,5482
2022,Guadalajara,1260
2022,Huelva,2698
2022,Huesca,1038
2022,Jaén,2742
2022,León,2149
2022,Lleida,2521
2022,Lugo,1361
2022,Madrid,30848
2022,Málaga,10701
2022,Murcia,9181
2022,Navarra,3419
2022,Ourense,1286
2022,Palencia,760
2022,"Palmas, Las",7777
2022,Pontevedra,4515
2022,"Rioja, La",1796
2022,Salamanca,1353
2022,Santa Cruz de Tenerife,6020
2022,Segovia,633
2022,Sevilla,10502
2022,Soria,343
2022,Tarragona,4600
2022,Teruel,465
2022,Toledo,2772
2022,Valencia/València,15308
2022,Valladolid,2511
2022,Zamora,621
2022,Zaragoza,4555
2022,Ceuta,760
2022,Melilla,777
