Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES,
2022,Total Nacional,1500,375,44431,11699,2755,74111,28274,8249,18478,3612,24029,508419,453222
2022,Araba/Álava,3,0,73,28,7,28,88,24,26,4,71,979,827
2022,Albacete,15,2,384,96,27,597,219,90,104,16,152,3989,3571
2022,Alicante/Alacant,74,9,1845,709,196,2870,1527,647,832,257,1511,24632,21578
2022,Almería,41,11,1479,232,48,926,435,184,298,70,635,11060,10188
2022,Ávila,3,2,196,33,8,76,62,19,15,2,68,1435,1251
2022,Badajoz,9,2,625,118,21,721,349,104,121,12,267,5300,5134
2022,Balears (Illes),40,1,1208,567,116,1457,881,252,531,119,846,16574,14866
2022,Barcelona,75,19,6399,1620,415,18877,3206,810,2436,448,2713,73252,61538
2022,Burgos,23,4,373,60,20,149,137,37,87,19,103,2943,2705
2022,Cáceres,4,2,442,68,7,201,133,27,47,17,140,3167,2928
2022,Cádiz,43,9,1062,275,51,740,783,228,357,129,1125,12986,12751
2022,Castellón/Castelló,11,2,658,216,34,470,398,147,165,52,127,5763,5421
2022,Ciudad Real,21,5,569,87,24,387,368,134,160,26,257,5216,4964
2022,Córdoba,16,2,673,126,27,532,458,178,180,27,228,6980,5850
2022,Coruña (A),26,4,660,163,39,1075,393,97,142,31,249,8025,7168
2022,Cuenca,8,3,263,36,11,95,135,19,29,7,75,1910,1852
2022,Girona,8,5,1248,239,56,1710,416,127,251,84,404,11614,10030
2022,Granada,51,20,843,222,56,1141,667,224,305,55,1089,10698,10037
2022,Guadalajara,5,2,288,57,8,153,156,25,58,30,77,2510,2409
2022,Gipuzkoa,28,5,191,76,27,155,301,52,179,24,180,2761,2487
2022,Huelva,17,4,1078,113,13,906,412,110,156,47,266,7203,5696
2022,Huesca,2,0,342,66,24,135,123,33,23,9,83,2243,1790
2022,Jaén,24,10,737,103,17,452,413,145,138,33,227,5652,5079
2022,León,11,4,369,84,12,200,214,62,90,23,99,3165,2820
2022,Lleida,7,5,630,138,50,957,202,54,88,34,130,5886,5079
2022,Rioja (La),9,2,505,80,15,534,158,45,73,26,156,3549,3135
2022,Lugo,8,1,265,50,8,214,102,30,44,10,75,2351,2246
2022,Madrid,233,62,4236,1641,451,19315,3936,954,4563,666,3596,84064,73429
2022,Málaga,81,24,1719,445,90,3293,1211,386,739,257,1641,22281,21206
2022,Murcia,74,17,2039,427,80,1406,1282,471,874,168,940,17992,15844
2022,Navarra,20,1,404,194,59,469,293,80,173,15,196,5354,4591
2022,Ourense,5,0,331,63,16,156,145,25,67,26,64,2568,2381
2022,Asturias,22,6,1063,186,41,1172,485,118,226,50,229,8621,7864
2022,Palencia,3,0,109,32,8,78,52,12,33,6,95,1410,1069
2022,Palmas (Las),34,9,1395,405,103,931,785,216,457,105,581,12973,12881
2022,Pontevedra,17,7,552,154,33,395,461,171,168,35,372,6508,5846
2022,Salamanca,5,0,226,39,10,535,201,56,46,11,113,2368,2118
2022,Santa Cruz de Tenerife,22,8,1157,272,66,979,486,161,361,73,395,11023,10546
2022,Cantabria,15,3,677,133,44,762,249,69,114,13,157,5576,4795
2022,Segovia,2,0,159,32,7,123,83,9,15,11,50,1454,1385
2022,Sevilla,97,22,1507,332,52,1294,1568,382,733,184,1039,16218,15764
2022,Soria,2,2,115,26,5,29,39,10,4,3,28,864,737
2022,Tarragona,16,3,1116,291,72,1279,509,186,223,66,425,11272,10014
2022,Teruel,9,4,165,21,3,63,40,16,18,9,51,1117,956
2022,Toledo,27,12,619,129,20,482,425,132,100,42,362,6805,6604
2022,Valencia/València,105,28,1844,717,162,4059,1890,565,1347,160,1372,28243,24082
2022,Valladolid,12,8,373,104,5,349,248,54,108,21,89,3552,3347
2022,Bizkaia,33,7,202,90,27,336,358,75,358,16,160,3524,2659
2022,Zamora,4,0,83,18,4,71,80,25,9,14,57,1195,1146
2022,Zaragoza,44,11,728,233,53,696,594,149,632,22,471,8889,7578
2022,Ceuta,27,5,68,35,4,22,37,4,68,16,93,1166,1291
2022,Melilla,9,1,139,18,3,59,81,19,107,12,100,1539,1689
